2022-12-27 00:08:27.9603 DEBUG Web Service--0
2022-12-27 00:09:38.0718 DEBUG Enter into login
2022-12-27 00:10:14.4546 DEBUG Enter into Update Method..
2022-12-27 00:10:14.4607 DEBUG {"Id":1,"FolderName":"Posi-Item Trackers","DataRoomId":1,"DataRoomName":"Perf Management","ParentFolderId":0,"ParentFolderName":null,"FolderDescription":"Test Trackers","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1/1","Guid":"69726a51-6ce8-472f-a2a0-b8f60a4dc17c","IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-27T00:10:14.3308353+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null}
2022-12-27 00:10:14.4607 DEBUG Exit from Update Method..
2022-12-27 00:11:20.8673 DEBUG Enter into login
2022-12-27 00:12:57.5529 DEBUG Enter into Update Method..
2022-12-27 00:12:57.5529 DEBUG {"Id":1,"ItemTrackerId":1,"IsMandatory":true,"ControlType":"1","ControlName":"User Name","IsVisible":false,"OrderNumber":0,"DataRoomId":1,"DataRoomName":"Perf Management","FolderId":1,"FolderName":"Posi-Item Trackers","ControlMasterData":null,"ControlReferenceId":0,"ControlReferenceName":null,"ControlGuid":"c9db2128-ddda-46b9-9ff8-dbe367948818","ParentGuid":"62f22b66-76bc-4a27-8475-aabb40d140bf","IsActive":true,"CreatedBy":12,"CreatedByName":"Ramakrishna","CreatedOn":"2022-12-27T00:12:40.6288157+05:30","ModifiedBy":0,"ModifierName":null,"ModifiedOn":null,"DeletedBy":0,"DeletorName":null,"DeletedOn":null,"ItemTrackerGuid":"f0588cd4-9b61-408b-bb07-ecd53096fdda"}
2022-12-27 00:12:57.5529 DEBUG Exit from Update Method..
2022-12-27 00:13:21.5395 DEBUG Enter into login
2022-12-27 00:21:45.9271 DEBUG Enter into login
2022-12-27 00:22:15.6637 DEBUG Enter into Update Method..
2022-12-27 00:22:15.6637 DEBUG {"Id":2,"FolderName":"Files Upload Testing","DataRoomId":1,"DataRoomName":"Perf Management","ParentFolderId":0,"ParentFolderName":null,"FolderDescription":"test","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1/2","Guid":"2da37e94-2795-4738-b9ae-a63551939f99","IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-27T00:22:15.5827881+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null}
2022-12-27 00:22:15.6637 DEBUG Exit from Update Method..
2022-12-27 00:22:52.2672 DEBUG Enter into Update Method..
