2023-01-11 13:10:54.5979 INFO Application started. Press Ctrl+C to shut down.
2023-01-11 13:10:54.7173 INFO Hosting environment: Development
2023-01-11 13:10:54.7173 INFO Content root path: C:\Working Projects\SharBox\DataRooms.WEBAPI
2023-01-11 13:10:55.3576 ERROR An unhandled exception has occurred while executing the request.
2023-01-11 13:11:28.6986 WARN The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
2023-01-11 13:11:29.4987 WARN The query uses the 'First'/'FirstOrDefault' operator without 'OrderBy' and filter operators. This may lead to unpredictable results.
2023-01-11 13:11:44.8790 DEBUG Enter into login
2023-01-11 13:13:08.3774 DEBUG Enter into Update Method..
2023-01-11 13:13:08.3926 DEBUG {"Id":4,"FolderName":"File Format Testing","DataRoomId":1,"DataRoomName":"Perf Management","ParentFolderId":0,"ParentFolderName":null,"FolderDescription":"testing","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1/4","Guid":"cb6bb805-41f6-4725-aa7d-2366614ff8a4","IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:13:07.3362453+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null}
2023-01-11 13:13:08.4155 DEBUG Exit from Update Method..
2023-01-11 13:13:28.2067 DEBUG Enter into Update Method..
2023-01-11 13:13:28.2239 DEBUG {"Id":356,"FileName":"Satra_Details.txt","ContentType":".txt","FileSize":"176","Guid":"bc1a6b5e-535e-48d4-983c-00f7f9209ded","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"test","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\356","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:13:27.7598173+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:13:28.2406 DEBUG Exit from Update Method..
2023-01-11 13:13:28.4406 DEBUG Enter into Update Method..
2023-01-11 13:13:28.4543 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"177113248","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:13:28.3599886+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:13:28.6440 DEBUG Exit from Update Method..
2023-01-11 13:13:29.2007 DEBUG Enter into Update Method..
2023-01-11 13:13:29.2007 DEBUG {"Id":357,"FileName":"scratch_work.txt","ContentType":".txt","FileSize":"4816","Guid":"1fb5b948-5efb-4edf-929a-d3cb9071a7b4","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"test","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\357","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:13:29.1583593+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:13:29.2123 DEBUG Exit from Update Method..
2023-01-11 13:13:29.2254 DEBUG Enter into Update Method..
2023-01-11 13:13:29.2254 DEBUG {"Id":1,"DataRoomName":"Perf Management","Description":"Testing","DataRoomSize":"177118064","RelativePath":"C:\\SharBoxWorkingSpace\\EBX/1/1","Guid":"98f6cd8e-6ed1-4a0f-b2d9-cab1e4d90fa5","IsArchivalRequired":true,"IsDeletionRequired":null,"IsLogsRequired":true,"ArchivalPeriod":"15","DeletionPeriod":null,"RetentionPeriod":"15","IsWorkFlowRequired":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2022-12-26T19:25:53.093","ModifiedBy":11,"ModifierName":"Ravi","ModifiedOn":"2023-01-11T13:13:29.2211903+05:30","DeletedBy":null,"DeletorName":null,"DeletedOn":null,"CompanyId":1,"CompanyName":"EBX","WorkFlowId":0,"WorkFlowName":null,"ArchivalBasedOn":"Created Date","RetentionBasedOn":"Created Date","DeletionBasedOn":null,"ArchivalType":"Local","ArchivalPath":null,"ArchivalAWSAccessKey":null,"ArchivalAWSSecurityKey":null,"ArchivalAWSRegion":null}
2023-01-11 13:13:29.2492 DEBUG Exit from Update Method..
2023-01-11 13:13:29.8194 DEBUG Enter into Update Method..
2023-01-11 13:13:29.8194 DEBUG {"Id":358,"FileName":"ServiceDesk_28122022.bak","ContentType":".bak","FileSize":"5361664","Guid":"777a4978-79f2-4952-91cd-9c512173851f","FolderId":4,"FolderName":null,"DataRoomId":1,"DataRoomName":"test","FileDescription":null,"RelativePath":"C:\\SharBoxWorkingSpace\\EBX\\1\\1\\4\\358","IsArchived":false,"ArchivedOn":null,"IsDeleted":false,"IsActive":true,"CreatedBy":11,"CreatorName":"Ravi","CreatedOn":"2023-01-11T13:13:29.7171855+05:30","ModifiedBy":null,"ModifierName":null,"ModifiedOn":null,"DeletedBy":null,"DeletorName":null,"DeletedOn":null,"IsCheckIn":null,"CheckInBy":null,"CheckInByName":null,"CheckInOn":null,"IsCheckOut":null,"CheckOutBy":null,"CheckOutByName":null,"CheckOutOn":null,"FileVersion":"1.0","CompanyId":1,"CompanyName":"EBX","IsWorkFlowRequired":false,"IsApproved":null,"ApprovedBy":null,"ApproverName":null,"ApprovedOn":null,"WaitingWithName":null,"Status":"Save"}
2023-01-11 13:13:29.8479 DEBUG Exit from Update Method..
2023-01-11 13:13:29.8796 DEBUG Enter into Update Method..
